Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-05-11,2016,5,11,†,19.5,,3.5,,11.5,,6.5,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-05-12,2016,5,12,†,24.5,,5.0,,14.8,,3.2,,0.0,,16.8,,0.0,,16.8,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-05-13,2016,5,13,†,20.5,,14.5,,17.5,,0.5,,0.0,,3.4,,0.0,,3.4,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-05-14,2016,5,14,†,14.0,,8.0,,11.0,,7.0,,0.0,,1.4,,0.0,T,1.4,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-05-15,2016,5,15,†,8.5,,1.0,,4.8,,13.2,,0.0,,1.0,,0.0,T,1.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-05-16,2016,5,16,†,18.0,,1.0,,9.5,,8.5,,0.0,,6.2,,0.0,,6.2,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-05-17,2016,5,17,†,17.5,,3.0,,10.3,,7.7,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-05-18,2016,5,18,†,18.0,,3.0,,10.5,,7.5,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-05-19,2016,5,19,†,20.5,,9.0,,14.8,,3.2,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-05-20,2016,5,20,†,23.0,,4.5,,13.8,,4.2,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
